Genotype,Capacitance_pF
WT,6.391800537
WT,3.177013548
WT,12.81680836
WT,6.439364402
WT,4.141554752
WT,6.733041495
WT,6.101749767
WT,5.267997948
WT,1.942692571
WT,7.266376439
WT,9.813379209
WT,5.963441658
WT,8.621972917
WT,6.978406419
WT,5.943975068
WT,9.376984203
WT,5.765901562
WT,4.943510171
WT,6.368797796
WT,4.201294568
WT,5.865523129
WT,1.942243447
WT,5.691497768
WT,3.527297802
WT,3.347424328
WT,1.925114658
WT,1.958381335
WT,12.68879166
WT,4.380995077
WT,6.827325374
WT,4.349559476
WT,2.39710993
WT,4.700119775
WT,6.755596186
WT,2.214181745
WT,3.900568452
WT,4.072676895
WT,7.53455298
WT,2.348860009
WT,4.44052136
WT,2.503411938
WT,6.087830661
WT,8.070947699
WT,5.82174151
WT,5.412077337
WT,7.041173128
WT,3.13086803
WT,5.317172681
WT,8.773765763
WT,2.153079184
WT,4.68288323
WT,8.545897852
WT,4.182157746
WT,2.083610498
WT,8.74152786
WT,7.83337464
WT,12.12815051
WT,4.436076032
WT,14.54538212
WT,4.569612139
WT,3.410303251
WT,4.513435125
WT,5.477144899
WT,4.856123916
WT,2.403013784
WT,4.53321829
WT,3.98666836
WT,6.277291693
WT,3.155772014
WT,3.731671441
WT,7.25076599
WT,5.242494036
WT,7.80355808
EPN,4.308173244
EPN,5.911651508
EPN,6.369026755
EPN,1.995804323
EPN,5.015204688
EPN,2.819735642
EPN,6.814869393
EPN,5.270778829
EPN,3.956649672
EPN,5.569270667
EPN,3.086039725
EPN,1.707002985
EPN,4.950488347
EPN,10.87116568
EPN,3.956490271
EPN,6.732760126
EPN,35.71199975
EPN,7.46798089
EPN,11.63469362
EPN,5.967712073
LVNV,19.94613419
LVNV,6.422308754
LVNV,3.691691004
LVNV,3.934722193
LVNV,3.623614406
LVNV,4.573465171
LVNV,6.030428868
LVNV,6.55300172
LVNV,3.777933177
LVNV,9.926332435
LVNV,11.43416477
LVNV,5.956308241
LVNV,5.157872953
LVNV,3.242853897
LVNV,7.618925828
LVNV,3.010194052
LVNV,4.565324343
LVNV,14.65515539
LVNV,2.66360501
LVNV,4.349517675
LVNV,4.424043524
LVNV,1.578942431
