Genotype,I_max_pA,I_density_max_pA_pF,V_at_I_max_mV,G_max_V-Eeq_pA/mV,G_max_V-Erev_pA/mV,Erev_mV,GpApF_max_V-Eeq_pA/mV,GpApF_max_V-Erev_pA/mV,G_Na_by_linear_slope_pA/mV
WT,-7092.248535,-1109.585397,10,-122.2801472,-96.53621502,83.46723231,-19.1307827,-15.10313322,14.26566252
WT,-1008.775757,-317.5232783,0,-14.8349376,-12.4911314,80.75935835,-4.669459974,-3.931721162,12.55390045
WT,-3050.235107,-237.9871042,10,-52.59026047,-51.76119321,68.92899522,-4.103225935,-4.038539998,17.47831382
WT,-3896.037354,-605.0344584,0,-57.29466696,-58.3107529,66.81507544,-8.897565565,-9.055358458,16.40985557
WT,-3554.175293,-858.1741655,10,-61.27888436,-67.66066843,62.52941443,-14.7961063,-16.33702136,21.19650393
WT,-2015.207184,-299.301168,10,-34.74495145,-31.98741562,73.11067345,-5.160364966,-4.742480973,38.25547003
WT,-2016.982422,-330.5580364,10,-34.775559,-25.47816518,89.1651364,-5.69927649,-4.175550646,13.62928326
WT,-1983.220947,-376.4657783,-10,-25.42590958,-23.50125101,74.38788841,-4.826484337,-4.461135186,12.70437041
WT,-1923.505005,-990.1232101,0,-28.28683831,-30.22674507,63.63586289,-14.56063544,-15.55920145,17.10743488
WT,-3719.782604,-511.9171343,10,-64.13418282,-50.87687545,83.11342473,-8.826157489,-7.001684523,14.02003713
WT,-1056.116089,-107.6200223,10,-18.20889808,-18.63496084,66.67390975,-1.855517625,-1.898934143,17.65290296
WT,-2639.623779,-442.6342926,0,-38.81799675,-33.39620063,79.03964312,-6.509327832,-5.600155505,13.24616101
WT,-1585.706177,-183.9145393,-10,-20.32956637,-20.05258865,69.0773802,-2.357878709,-2.325754076,15.68755851
WT,-1442.552124,-206.7165535,0,-21.21400182,-22.36435967,64.50227709,-3.039949317,-3.204794666,17.01256206
WT,-1621.393555,-272.779333,10,-27.95506129,-28.34977273,67.192471,-4.703091949,-4.769497248,19.34079509
WT,-1498.877319,-159.8464162,10,-25.8427124,-24.981944,69.99842603,-2.755972693,-2.664176825,17.80937089
WT,-1249.88501,-216.7718259,20,-26.03927104,-25.33768398,69.32909459,-4.516079707,-4.394401068,17.89331651
WT,-1033.187744,-208.9988102,0,-15.19393741,-15.91896158,64.9029611,-3.073511915,-3.220173728,16.88072938
WT,-880.7457275,-138.2907349,0,-12.95214305,-13.0424061,67.52938994,-2.033687278,-2.047859976,15.09398661
WT,-1022.713562,-243.4281971,0,-15.03990532,-15.22037827,67.19370202,-3.579826428,-3.622782936,15.92464666
WT,-829.6817017,-427.1769859,10,-14.30485693,-14.07238885,68.9581279,-7.365120447,-7.245429955,17.97902054
WT,-834.7014771,-146.657613,10,-14.39140478,-15.53235232,63.73954053,-2.528579534,-2.729044788,16.58952494
WT,-807.7921753,-229.0116176,0,-11.8792967,-11.52687108,70.07905002,-3.367817905,-3.267904138,16.70765144
WT,-851.7456055,-254.4480538,10,-14.68526906,-14.80615448,67.52645676,-4.38703541,-4.423148376,17.2609964
WT,-668.9265747,-347.4736281,10,-11.53321681,-11.35318844,68.91971035,-5.990924623,-5.897408967,18.31503801
WT,-667.2329712,-340.7063574,10,-11.50401674,-11.768284,66.69755856,-5.874247541,-6.009189214,18.80876159
WT,-724.8986206,-57.1290506,0,-10.66027383,-10.54362902,68.75228815,-0.840133097,-0.830940353,16.84748955
WT,-1578.107178,-360.216606,0,-23.2074585,-20.53680055,76.8428935,-5.29730303,-4.687702266,13.69014235
WT,-658.7709961,-96.49034725,20,-13.72439575,-11.88323591,75.43700396,-2.010215568,-1.74054044,17.2552842
WT,-658.921814,-274.8817673,20,-13.72753779,-15.81619697,61.66120436,-5.726703485,-6.598027387,22.66848375
WT,-623.0012207,-159.7206223,10,-10.74140036,-10.45322755,69.59893416,-2.753803834,-2.67992414,18.36767861
WT,-582.7241211,-143.0813532,10,-10.04696761,-9.912918039,68.78431747,-2.466919882,-2.434005519,17.66352075
WT,-643.3231812,-85.38305894,10,-11.09177899,-11.04297551,68.256326,-1.472121706,-1.465644417,18.18026914
WT,-488.2360229,-109.9501575,10,-8.417862465,-8.548256448,67.1152756,-1.895692371,-1.925056937,17.46551613
WT,-511.0004883,-204.1216152,10,-8.810353246,-8.15983021,72.62391191,-3.519338193,-3.259483622,16.7495856
WT,-465.7685242,-80.00501626,0,-6.84953712,-6.431812674,72.41636966,-1.176544357,-1.104791867,15.67999003
WT,-380.4804688,-70.3021123,10,-6.560008082,-6.429771055,69.17480817,-1.212105384,-1.188041237,18.33106871
WT,-351.6071167,-112.3033974,10,-6.062191667,-5.7188421,71.4822215,-1.936265473,-1.826599539,17.54700516
WT,-540.7172852,-251.136739,20,-11.26494344,,,-5.232015396,12.55683695,
WT,-287.2872925,-61.34837842,10,-4.953229181,-5.344488707,63.75393386,-1.057730662,-1.141281652,19.64010222
WT,-199.585907,-43.67677188,10,-3.441136327,-3.813300292,62.33941512,-0.753047791,-0.834491019,20.25281637
WT,-181.7494812,-33.18325232,10,-3.133611745,-2.955169045,71.50222827,-0.57212504,-0.53954553,17.58245064
