Genotype,E_at_I_window_peak,I_window_max_fraction
WT,-30.89,0.050676432
WT,-36.67,0.033609252
WT,-34.91,0.020601466
WT,-39.49,0.035994235
WT,-36.39,0.038385847
WT,-35.15,0.004488217
WT,-28.18,0.018416079
WT,-31.81,0.033098451
WT,-35.64,0.01787237
WT,-34.99,0.035974112
WT,-31.07,0.036036295
WT,-33.3,0.021613895
WT,-26.02,0.036476948
WT,-40.91,0.042160499
WT,-34.31,0.015710688
WT,-23.13,0.05589295
WT,-34.27,0.02490157
WT,-33.6,0.013726504
WT,-44.54,0.012981516
WT,-42.64,0.010333783
WT,-28.93,0.056667956
WT,-26.52,0.008664061
WT,-12.09,0.054156963
WT,-34.55,0.01185959
WT,-31.33,0.05094066
WT,-39.35,0.020887903
WT,-34.11,0.020150782
WT,-41.66,0.007856167
WT,-39.34,0.020248036
WT,-30.39,0.07084794
WT,-25.14,0.018992314
WT,-29.98,0.026584631
WT,-44.27,0.036342478
WT,-28.68,0.033206387
WT,-36.04,0.098265438
WT,-40.25,0.038739749
WT,-28.67,0.0684366
WT,-29.62,0.033746209
WT,-32.46,0.028125543
EPN,-29.79,0.042724958
EPN,-28.76,0.007138986
EPN,-41.14,0.032034745
EPN,-27.63,0.047488862
EPN,-30.05,0.033672341
EPN,-50,0.046536523
EPN,-27.86,0.083931452
EPN,-31.23,0.024053513
EPN,-22.55,0.067527963
EPN,-50,0.004157044
EPN,-26.24,0.06439314
EPN,-19.82,0.150941234
EPN,-36.66,0.031790604
LVNV,-32.59,0.02046328
LVNV,-34.81,0.056680687
LVNV,-36.59,0.026544722
LVNV,-35.8,0.010337532
LVNV,-38.7,0.026460211
LVNV,-22.52,0.080781461
LVNV,-40.48,0.031585394
LVNV,-33.03,0.027513053
LVNV,-38.36,0.044181393
LVNV,-27.74,0.103842975
LVNV,-35.65,0.010933919
LVNV,-29.59,0.075481801
LVNV,-33.56,0.013516724
LVNV,-33.15,0.023495851
LVNV,-30.83,0.076762442
LVNV,-37.56,0.097306908
