Genotype,SnakeMuscle,Baseline_force,Fmax,Time_to_Fmax,Time_to_0.1Fmax,Time_to_0.5relax,Contraction_Duration_10_to_50,dFdtmax,dFdtmin,Time_to_dFdtmax,Time_to_dFdtmin,Contraction_Duration_max_to_min,MAMU,SVLmm,MuscleMass,BodyMass,Days_in_Captivity,Sex
WTs,CRF2417-M2,0.657601572,0.348050399,29.4,6.4,55.3,48.9,21.61216416,-8.103077681,9.8,43.5,33.7,18.5,,0.0597,32.6,132,
WTs,CRF2458C-M1,0.098227201,0.333385073,29.6,8.5,44.9,36.4,20.72522673,-13.15659594,15.5,41.8,26.3,16.2,,0.0316,,717,
WTs,CRF2458D-M1,0.098227201,0.916084201,29.6,8.5,44.9,36.4,56.94931866,-36.15203753,15.5,41.8,26.3,30.5,,0.0115,,672,
WTs,CRF2459-M1,0.485391628,0.091316533,18.7,4.8,39.1,34.3,15.13190484,-8.36782592,6.4,119.3,112.9,6.9,,0.0486,42.1,96,
WTs,CRF2462C-M1,0.057752353,0.686518338,40,10.8,55.2,44.4,35.1612433,-28.31965726,25.3,56.1,30.8,30.5,,0.0094,,686,
WTs,CRF2519E-M1,0.400215089,0.275148297,21.3,5.4,35.8,30.4,19.99142161,-11.69637129,11.5,33.9,22.4,13.8,,0.0101,,232,
WTs,CRF2523D-M1,0.289173134,0.766412492,29.1,8.6,46.5,37.9,49.7266682,-28.59237876,15.1,40.3,25.2,36,,0.015,,,
WTs,CRF2523G-M1,0.381601148,0.501371831,22.4,7,36.5,29.5,40.96898907,-21.09598476,12.4,30.5,18.1,36,,0.0184,,225,
WTs,CRF3041-M1,0.36131192,0.111944118,29.1,1.2,35.9,34.7,19.46975959,-18.64667171,18.9,43.5,24.6,2.8,240,0.025,6,314,
WTs,CRF3215-M1,1.362125548,0.876212579,22,4.4,37.2,32.8,85.51017696,-47.63175249,5.5,28.7,23.2,6.703,490,0.0123,21.83,509,F
WTs,CRF3311-M1,1.417800507,0.415701075,30.9,4.5,52.8,48.3,24.66087959,-11.87885167,5.2,43.7,38.5,1.588,29.5,0.0296,9.9,189,M
WTs,EJE190-M1,0.273298194,0.139715801,25.4,0.4,34.4,34,8.002703166,-6.036934475,14.5,36.6,22.1,2.9,260,0.0258,9,266,
WTs,EJE191-M1,0.179837266,0.160821075,32.1,1.4,44.6,43.2,8.151366629,-6.820720792,18.8,45.2,26.4,4.5,360,0.0298,15,257,
WTs,MTJH381-M3,2.578379085,0.450604451,51.1,8.1,98.4,90.3,16.71505798,-6.811178756,8.7,76.1,67.4,4.16,395,0.068,28.56,584,M
WTs,MTJH384-M1,1.650986408,0.486939222,31.3,6.6,75.4,68.8,31.36312415,-7.379702317,7.2,54,46.8,5.45,430,0.0446,26.18,604,F
WTs,MTJH390-M2,1.556549384,0.267020275,35.3,8.9,58.1,49.2,15.08954023,-7.446095131,11.1,47.6,36.5,2.4,500,0.04,47.5,551,F
WTs,MTJH394-M1,1.587442917,0.490089041,25.9,4.7,48.2,43.5,35.15899128,-13.98690924,6.3,37.8,31.5,2.43,420,0.0292,23.34,558,M
WTs,MTJH399-M1,1.581902658,0.126806443,27.6,7,53.8,46.8,9.910435453,-3.107764881,10.5,40.7,30.2,2.54,,0.0433,,460,F
WTs,MTJH402-M3,1.490899467,0.275980863,34.3,8.8,54.5,45.7,14.55368259,-8.689349381,12.4,47.6,35.2,10.56,,0.0516,,453,F
WTs,MTJH430-M1,2.741388774,0.082753313,24.5,6.5,46.1,39.6,7.038595038,-2.355930568,9.6,36.7,27.1,17.4,,0.1403,,449,F
WTs,REdC10-M1,2.579032751,0.480500784,44,13.8,65.7,51.9,35.57406172,-30.48103991,29.7,60.9,31.2,37.7,480,0.0848,36,377,F
WTs,REdC4-M1,0.489904354,0.140043371,39.5,13.2,55.1,41.9,6.604569645,-6.647202192,24.4,56,31.6,3.7,510,0.1171,76,363,F
WTs,Wills06-M1,0.229626933,0.224093145,41.9,13.4,75.4,62,9.703384078,-4.530468495,24,57.4,33.4,3.2,,0.05,27.1,66,
WTs,CRF2417-M2,0.670134553,0.345991662,29.4,6.5,55.3,48.8,21.61216416,-8.103077681,9.8,43.5,33.7,,,,,,
WTs,CRF2458C-M1,0.095330991,0.334283874,29.6,8.5,44.9,36.4,20.72522673,-13.15659594,15.5,41.8,26.3,,,,,,
WTs,CRF2458D-M1,0.095330991,0.918553951,29.6,8.5,44.9,36.4,56.94931866,-36.15203753,15.5,41.8,26.3,,,,,,
WTs,CRF2459-M1,0.489532929,0.090480889,18.7,4.9,39.1,34.2,15.13190484,-8.36782592,6.4,119.3,112.9,,,,,,
WTs,CRF2462C-M1,0.062361296,0.681710009,40,11.1,54.7,43.6,35.1612433,-28.31965726,25.3,56.1,30.8,,,,,,
WTs,CRF2519E-M1,0.402827639,0.272611627,21.3,5.4,35.8,30.4,19.99142161,-11.69637129,11.5,33.9,22.4,,,,,,
WTs,CRF2523D-M1,0.298516079,0.760304293,29.1,9,46.5,37.5,49.7266682,-28.59237876,15.1,40.3,25.2,,,,,,
WTs,CRF2523G-M1,0.384553919,0.499798092,22.4,7,36.4,29.4,40.96898907,-21.09598476,12.4,30.5,18.1,,,,,,
WTs,CRF3041-M1,0.360608403,0.112220084,29.1,1.2,35.9,34.7,19.46975959,-18.64667171,18.9,43.5,24.6,,,,,,
WTs,CRF3215-M1,1.345583252,0.889401563,22,4.1,37.6,33.5,85.51017696,-47.63175249,5.5,28.7,23.2,,,,,,
WTs,CRF3311-M1,1.418958091,0.415317561,30.9,4.5,52.8,48.3,24.66087959,-11.87885167,5.2,43.7,38.5,,,,,,
WTs,EJE190-M1,0.278034393,0.137915559,25.4,0.4,34.4,34,8.00272264,-6.036938537,14.5,36.6,22.1,,,,,,
WTs,EJE191-M1,0.174927733,0.162436714,32.1,0.7,44.7,44,8.151366629,-6.820720792,18.8,45.2,26.4,,,,,,
WTs,MTJH381-M3,2.569317837,0.451911222,51.1,8.1,98.5,90.4,16.71505798,-6.811178756,8.7,76.1,67.4,,,,,,
WTs,MTJH384-M1,1.734085167,0.468667462,31.3,7.1,73,65.9,31.36312415,-7.379702317,7.2,54,46.8,,,,,,
WTs,MTJH390-M2,1.532369278,0.272948421,35.3,8.4,58.3,49.9,15.08954023,-7.446095131,11.1,47.6,36.5,,,,,,
WTs,MTJH394-M1,1.591177333,0.488834859,25.9,4.7,48.1,43.4,35.15899128,-13.98690924,6.3,37.8,31.5,,,,,,
WTs,MTJH399-M1,1.563094322,0.131066184,27.6,6.7,54.2,47.5,9.910435453,-3.107764881,10.5,40.7,30.2,,,,,,
