SnakeMuscle,IC50,Slope,maxslope,range_10_to_90,Snake,Muscle,Species,Genotype,MAMU,Long,Lat,SVLmm,MusMassg,BodMassg,Sex,Date_of_Experiment,Date_Collected,Days_in_Captivity
CRF3359_M3,64.37681581,0.514949477,-0.009958036,178.8140918,CRF3359,M3,atratus,WTa,0.9928718,-124.104118,41.821616,535,145.8,68.73,F,13-Apr-19,19-Sep-18,206
CRF3605_M4,15.13521632,1.366208509,-0.07751157,303.8148836,CRF3605,M4,atratus,WTa,0.848,-121.94444,41.25039,415,30.4,25,M,3-Jul-20,5-Jun-20,28
CRF3606_M2,30.04196179,1.597589259,-0.059430797,1004.217348,CRF3606,M2,atratus,WTa,0.87,-121.94444,41.25039,340,31.4,15,,5-Jul-20,5-Jun-20,30
CRF3607_M2,36.20610045,1.582344978,-0.053709942,1170.327838,CRF3607,M2,atratus,WTa,1.68,-121.94444,41.25039,600,131.1,133,F,5-Jul-20,5-Jun-20,30
CRF3608_M4,84.48231153,2.139699071,-0.046374286,9300.831387,CRF3608,M4,atratus,WTa,0.92,-121.94444,41.25039,350,31.1,18,,9-Jul-20,5-Jun-20,34
CRF3609_M4,9.014710097,2.869460695,-0.075489339,4933.006513,CRF3609,M4,atratus,WTa,1.8,-121.94444,41.25039,570,103.9,62,M,9-Jul-20,5-Jun-20,34
CRF3610_M2,129.51277,3.149809372,-0.046028312,131218.228,CRF3610,M2,atratus,WTa,1.8,-121.94444,41.25039,690,123.9,54,,7-Aug-20,5-Jun-20,63
CRF3611_M4,385.0027476,0.306799614,-0.002312447,559.2820135,CRF3611,M4,atratus,WTa,1.15,-121.94444,41.25039,560,95.8,93,F,14-Jul-20,5-Jun-20,39
CRF3613_M2,58.76914401,2.505412305,-0.054827437,14451.50601,CRF3613,M2,atratus,WTa,0.86,-122.09245,41.15706,445,47.7,26,M,13-Aug-20,5-Jun-20,69
CRF3614_M4,30.74007135,2.23965324,-0.06534865,4215.548672,CRF3614,M4,atratus,WTa,1.03,-122.09245,41.15706,550,111.1,95,,15-Jul-20,5-Jun-20,40
CRF3615_M4,268.8014989,0.446953747,-0.002557444,617.0083304,CRF3615,M4,atratus,WTa,1.79,-122.09245,41.15706,570,86.4,94,F,16-Jul-20,5-Jun-20,41
CRF3617_M3,288.6034151,0.784410307,-0.002226751,1565.909059,CRF3617,M3,atratus,WTa,0.98,-122.38249,41.23005,415,58.1,31,,24-Aug-20,5-Jun-20,80
CRF3618_M3,13.00603773,2.124282977,-0.083398578,1384.164762,CRF3618,M3,atratus,WTa,1.85,-122.38249,41.23005,455,58.5,40,,25-Aug-20,5-Jun-20,81
CRF3619_M4,127.6631933,3.081765054,-0.046150085,111382.3435,CRF3619,M4,atratus,WTa,1.6,-122.38249,41.23005,570,76.6,72,M,27-Aug-20,5-Jun-20,83
CRF3620_M3,121.2800597,1.751677404,-0.032550349,5690.065646,CRF3620,M3,atratus,WTa,1.56,-122.38249,41.23005,510,76.4,60,,29-Aug-20,5-Jun-20,85
CRF3621_M3,268.732509,0.705012378,-0.002285861,1207.857947,CRF3621,M3,atratus,WTa,1.89,-122.38249,41.23005,630,95.9,63,M,12-Aug-20,5-Jun-20,68
CRF2436B_M2,253.386148,0.6993571,-0.002420302,1123.479552,CRF2436B,M2,atratus,EPN,250,-123.080799,39.820297,NA,33.2,NA,,17-Jun-14,29-Jul-13,323
CRF3106_M2,178005.4788,0.166958308,-1.78E-06,133549.8478,CRF3106,M2,atratus,EPN,250,-122.2288,37.04068,NA,269.1,99.1,,13-Nov-16,28-Aug-16,77
